geoid,name,total,white_alone,black_alone,american_indian_and_alaska_native,asian_alone,native_hawaiian_and_pacific_islander,other_alone,two_or_more_races,latino_alone,county,state,tract,asian_all,other_all
16019970403,"Census Tract 9704.03, Bonneville County, Idaho",11130.0,8594.0,185.0,24.0,2.0,0.0,0.0,377.0,1948.0,019,16,970403,2.0,401.0
16019970100,"Census Tract 9701, Bonneville County, Idaho",5361.0,5145.0,0.0,0.0,12.0,0.0,19.0,29.0,156.0,019,16,970100,12.0,48.0
16019970700,"Census Tract 9707, Bonneville County, Idaho",5888.0,3612.0,133.0,46.0,12.0,0.0,0.0,127.0,1958.0,019,16,970700,12.0,173.0
16025970100,"Census Tract 9701, Camas County, Idaho",886.0,801.0,0.0,0.0,0.0,0.0,0.0,3.0,82.0,025,16,970100,0.0,3.0
16027021700,"Census Tract 217, Canyon County, Idaho",12466.0,6623.0,0.0,72.0,99.0,81.0,19.0,60.0,5512.0,027,16,021700,180.0,151.0
16027020700,"Census Tract 207, Canyon County, Idaho",3659.0,3152.0,0.0,0.0,58.0,0.0,0.0,65.0,384.0,027,16,020700,58.0,65.0
16027022100,"Census Tract 221, Canyon County, Idaho",5610.0,4007.0,0.0,13.0,32.0,0.0,0.0,73.0,1485.0,027,16,022100,32.0,86.0
16027020200,"Census Tract 202, Canyon County, Idaho",4235.0,1975.0,8.0,0.0,0.0,16.0,0.0,91.0,2145.0,027,16,020200,16.0,91.0
16027021300,"Census Tract 213, Canyon County, Idaho",2848.0,1072.0,10.0,17.0,16.0,0.0,0.0,46.0,1687.0,027,16,021300,16.0,63.0
16027021800,"Census Tract 218, Canyon County, Idaho",6819.0,5403.0,0.0,0.0,0.0,0.0,0.0,188.0,1228.0,027,16,021800,0.0,188.0
16027022300,"Census Tract 223, Canyon County, Idaho",5982.0,4852.0,0.0,1.0,19.0,0.0,3.0,57.0,1050.0,027,16,022300,19.0,61.0
16027022400,"Census Tract 224, Canyon County, Idaho",4414.0,3953.0,30.0,0.0,12.0,0.0,0.0,49.0,370.0,027,16,022400,12.0,49.0
16027021901,"Census Tract 219.01, Canyon County, Idaho",5662.0,4492.0,0.0,47.0,78.0,0.0,0.0,113.0,932.0,027,16,021901,78.0,160.0
16027021200,"Census Tract 212, Canyon County, Idaho",7619.0,4125.0,0.0,52.0,43.0,0.0,0.0,235.0,3164.0,027,16,021200,43.0,287.0
16027022200,"Census Tract 222, Canyon County, Idaho",5415.0,3383.0,0.0,17.0,9.0,0.0,10.0,74.0,1922.0,027,16,022200,9.0,101.0
16001001900,"Census Tract 19, Ada County, Idaho",4586.0,3999.0,0.0,0.0,55.0,0.0,0.0,129.0,403.0,001,16,001900,55.0,129.0
16001002222,"Census Tract 22.22, Ada County, Idaho",6257.0,4945.0,130.0,14.0,291.0,0.0,0.0,263.0,614.0,001,16,002222,291.0,277.0
16027020602,"Census Tract 206.02, Canyon County, Idaho",7580.0,5323.0,16.0,54.0,71.0,22.0,0.0,173.0,1921.0,027,16,020602,93.0,227.0
16027020402,"Census Tract 204.02, Canyon County, Idaho",5822.0,4400.0,139.0,39.0,73.0,52.0,0.0,79.0,1040.0,027,16,020402,125.0,118.0
